L5,D5,L4,D4,L3,D3,L2,D2,L1,D1,X
2.311972201,-0.005198609,2.306773592,0.119135906,2.425909498,-0.505609379,1.920300119,-0.139692828,1.780607291,0.157311081,1.937918373
2.316075636,0.00927899,2.325354626,0.155455526,2.480810152,-0.18143348,2.299376672,-0.387493224,1.911883449,-0.317994216,1.593889232
2.320448293,0.022340318,2.342788611,0.200269681,2.543058292,0.042538004,2.585596296,-0.129020624,2.456575672,0.400753761,2.857329434
2.324888493,0.036402569,2.361291062,0.248471286,2.609762348,0.357353347,2.967115695,0.313266468,3.280382163,-0.422389352,2.857992812
2.331958315,0.039894094,2.37185241,0.201967786,2.573820196,0.3083919,2.882212096,0.113742772,2.995954868,0.372630924,3.368585792
2.340207194,0.039206883,2.379414077,0.11765441,2.497068488,0.136604487,2.633672975,-0.219122769,2.414550206,-0.148546051,2.266004155
2.348414751,0.04000031,2.388415061,0.040998439,2.4294135,0.073744151,2.503157651,0.039969329,2.54312698,-0.005494236,2.537632744
2.357435697,0.038346204,2.395781901,-0.060145809,2.335636092,-0.038846013,2.296790079,0.420491031,2.717281111,0.443249582,3.160530692
2.365963672,0.039770348,2.405734021,-0.132574147,2.273159873,-0.023883008,2.249276865,0.032060557,2.281337422,-0.713793201,1.567544221
2.37465868,0.041514117,2.416172796,-0.20344864,2.212724157,0.033583682,2.246307839,-0.563971366,1.682336473,-0.077213203,1.60512327
2.384216608,0.04060332,2.424819928,-0.300849905,2.123970023,0.034937631,2.158907654,-0.148566752,2.010340902,0.547059485,2.557400387
2.39416778,0.039038747,2.433206527,-0.405769375,2.027437152,0.045840088,2.073277239,0.518492613,2.591769853,0.248328915,2.840098768
2.403174706,0.04338808,2.446562786,-0.360130504,2.086432282,0.019740057,2.10617234,0.143091279,2.249263619,-0.736267247,1.512996372
2.41205551,0.049666307,2.461721817,-0.256761508,2.204960309,-0.023571617,2.181388691,-0.450845008,1.730543683,0.533687618,2.264231302
2.421390958,0.054991684,2.476382642,-0.16787742,2.308505221,-0.055849492,2.252655729,-0.279864115,1.972791614,-0.341907139,1.630884475
2.430760767,0.061441752,2.492202519,-0.042160979,2.450041539,-0.095416294,2.354625245,0.003792978,2.358418223,-0.026446275,2.331971949
2.440989807,0.065041972,2.50603178,0.031970062,2.538001842,-0.080931828,2.457070014,0.148308093,2.605378108,0.264967317,2.870345425
2.451648692,0.067855739,2.519504432,0.099877992,2.619382424,-0.045696022,2.573686402,0.367416887,2.941103289,-0.266550003,2.674553286
2.462309714,0.071949053,2.534258767,0.208022688,2.742281455,-0.020248282,2.722033172,0.364155783,3.086188955,0.271084034,3.357272989
2.473264059,0.075916499,2.549180558,0.324909435,2.874089993,0.016482474,2.890572467,0.286498829,3.177071296,0.011462485,3.188533781
2.483332292,0.075655042,2.558987334,0.294538632,2.853525967,0.027433409,2.880959375,-0.155261636,2.72569774,-0.175840185,2.549857555
2.49316117,0.073670705,2.566831875,0.209867437,2.776699312,0.031666021,2.808365332,-0.810356647,1.998008685,-0.318278903,1.679729782
2.503331909,0.071748575,2.575080485,0.140914674,2.715995159,0.048612203,2.764607362,-0.578346716,2.186260645,0.617177279,2.803437925
2.513442115,0.068597755,2.58203987,0.037611155,2.619651025,0.065089869,2.684740894,-0.107402201,2.577338693,-0.249939979,2.327398714
2.52404386,0.0667399,2.59078376,-0.009621565,2.581162195,0.031907017,2.613069211,0.311533731,2.924602942,-0.027021753,2.897581189
2.534862587,0.064863004,2.59972559,-0.047429121,2.552296469,-0.02127957,2.5310169,0.914243114,3.445260013,-0.129618352,3.315641661
2.545600174,0.061658951,2.607259125,-0.12308816,2.484170965,-0.072708949,2.411462016,0.418480168,2.829942184,0.189253895,3.019196079
2.556456966,0.058018185,2.614475151,-0.204498838,2.409976313,-0.138023181,2.271953132,-0.464068195,1.807884937,0.21162105,2.019505987
2.568118046,0.055478041,2.623596087,-0.180336189,2.443259898,-0.090353154,2.352906743,-0.300592918,2.052313825,-0.462984798,1.589329027
2.580168618,0.053061026,2.633229644,-0.117955748,2.515273897,-0.000929196,2.514344701,0.010393134,2.524737835,0.441625934,2.966363769
2.592307265,0.050133938,2.642441203,-0.066381938,2.576059265,0.069264116,2.645323381,-0.083131995,2.562191386,-0.411722933,2.150468452
2.604751073,0.04716406,2.651915134,0.009682144,2.661597278,0.162805128,2.824402406,-0.168887165,2.655515241,0.103561894,2.759077136
2.617087533,0.043116135,2.660203668,0.043317398,2.703521066,0.124445946,2.827967012,0.051577558,2.879544569,0.126876402,3.006420972
2.629530644,0.038535441,2.668066085,0.069231463,2.737297548,0.038868315,2.776165863,0.363145653,3.139311516,0.336163255,3.475474771
2.642294978,0.033952879,2.676247857,0.12224059,2.798488447,-0.017006301,2.781482146,0.031736232,2.813218378,-0.589341037,2.223877341
2.655234604,0.029005705,2.684240309,0.178667574,2.862907883,-0.096336395,2.766571488,-0.498140648,2.26843084,-0.281353069,1.987077771
2.656699272,0.021602663,2.678301935,0.155694766,2.833996701,-0.079672476,2.754324225,-0.083203668,2.671120557,0.786780016,3.457900572
2.653397536,0.012983595,2.666381131,0.1034083,2.769789431,-0.030009684,2.739779747,0.57265999,3.312439737,-0.374518936,2.937920802
2.650774564,0.004092965,2.654867529,0.058298627,2.713166156,-0.008530119,2.704636037,0.207041444,2.911677481,0.087434189,2.99911167
2.644991727,-0.00574311,2.639248617,-0.00590171,2.633346907,0.026586023,2.65993293,-0.380267719,2.279665212,0.515571938,2.79523715
2.642253486,-0.015327259,2.626926227,-0.039460174,2.587466053,0.062152019,2.649618072,-0.159836544,2.489781529,-0.852409763,1.637371766
2.639401831,-0.025276018,2.614125813,-0.068166798,2.545959015,0.101315403,2.647274418,0.192234581,2.839508999,-0.084439563,2.755069436
2.633153304,-0.036216492,2.596936812,-0.117899613,2.479037199,0.154351585,2.633388784,-0.047106782,2.586282002,0.674732255,3.261014257
2.62572866,-0.047723124,2.578005537,-0.171060727,2.40694481,0.215024023,2.621968833,-0.390873136,2.231095697,-0.194275763,2.036819934
2.622837878,-0.058888676,2.563949202,-0.158597042,2.405352159,0.11145565,2.516807809,-0.019946059,2.49686175,-0.132838939,2.364022811
2.620965403,-0.070279421,2.550685982,-0.122043184,2.428642798,-0.056949302,2.371693496,0.543521836,2.915215331,0.108774224,3.023989556
2.617652972,-0.082278821,2.535374151,-0.092034774,2.443339377,-0.210257769,2.233081607,0.310884879,2.543966486,-0.097702956,2.44626353
2.614685125,-0.094606614,2.520078511,-0.046573487,2.473505024,-0.404917373,2.06858765,-0.09458683,1.97400082,-0.007851952,1.966148867
2.608486761,-0.107848907,2.500637854,-0.026593242,2.474044612,-0.330606818,2.143437794,-0.185512741,1.957925053,0.082288628,2.040213681
2.600922821,-0.121698655,2.479224166,-0.010906781,2.468317385,-0.159629338,2.308688048,-0.307892032,2.000796016,0.207933943,2.208729959
2.593843427,-0.135853753,2.457989674,0.021822651,2.479812325,-0.04293425,2.436878075,-0.192170212,2.244707863,-0.421693462,1.823014401
2.585988202,-0.150520274,2.435467928,0.057093522,2.49256145,0.124444334,2.617005784,0.043430572,2.660436356,-0.19760159,2.462834766
2.583452629,-0.149929798,2.433522831,0.059466382,2.492989212,0.141718898,2.634708111,0.106336003,2.741044114,0.543868459,3.284912573
2.582868296,-0.143119505,2.439748792,0.050836851,2.490585643,0.113127647,2.60371329,0.177149308,2.780862598,0.526953605,3.307816203
2.581255335,-0.13749887,2.443756465,0.046392014,2.49014848,0.143042908,2.633191387,0.17717305,2.810364437,-1.200035782,1.610328655
2.580682367,-0.127854187,2.45282818,0.035088334,2.487916515,0.160464768,2.648381282,0.132495152,2.780876434,0.51742975,3.298306185
