time,SC_I,SC_V,SC_SOC,bat_I,bat_V,bat_SOC,Speed,EVPower,Acceleration,I_Load,,,time.1,SC_I.1,SC_V.1,SC_SOC.1,bat_I.1,bat_V.1,bat_SOC.1,Speed.1,EVPower.1,Acceleration.1,I_Load.1
0,0,16.70264755,86.48278827,0,15.55734987,95.75,0,0,0,0,,,0,0.071855253,16.7002404,86.48278827,-0.077130289,15.55809033,95.75,0,0,0,0
0.1,0,16.69949632,86.46359735,0,15.55734987,95.75,0,0,0,0,,,0.1,0.071856193,16.70002186,86.48145755,-0.077130123,15.55812385,95.75000412,0,0,0,0
0.2,0,16.69636968,86.44455678,0,15.55734987,95.75,0,0,0,0,,,0.2,0.071857134,16.69980331,86.4801268,-0.077129958,15.55815704,95.75000824,0,0,0,0
0.3,0,16.69325917,86.425615,0,15.55734987,95.75,0,0,0,0,,,0.3,0.071858074,16.69958477,86.47879604,-0.077129795,15.55818991,95.75001236,0,0,0,0
0.4,0,16.69016462,86.406771,0,15.55734987,95.75,0,0,0,0,,,0.4,0.071859015,16.69936622,86.47746526,-0.077129634,15.55822246,95.75001648,0,0,0,0
0.5,0,16.68708587,86.38802377,0,15.55734987,95.75,0,0,0,0,,,0.5,0.071859955,16.69914767,86.47613446,-0.077129474,15.55825469,95.7500206,0,0,0,0
0.6,0,16.68402276,86.36937233,0,15.55734987,95.75,0,0,0,0,,,0.6,0.071860896,16.69892911,86.47480364,-0.077129316,15.55828661,95.75002472,0,0,0,0
0.7,0,16.68097513,86.3508157,0,15.55734987,95.75,0,0,0,0,,,0.7,0.071861836,16.69871055,86.47347281,-0.077129159,15.55831821,95.75002884,0,0,0,0
0.8,0,16.67794282,86.33235293,0,15.55734987,95.75,0,0,0,0,,,0.8,0.071862777,16.69849199,86.47214196,-0.077129004,15.55834951,95.75003296,0,0,0,0
0.9,0,16.67492569,86.31398309,0,15.55734987,95.75,0,0,0,0,,,0.9,0.071863717,16.69827342,86.47081109,-0.07712885,15.5583805,95.75003708,0,0,0,0
1,0,16.67192357,86.29570523,0,15.55734987,95.75,0,0,0,0,,,1,0.071864658,16.69805485,86.46948021,-0.077128698,15.55841119,95.7500412,0,0,0,0
1.1,0,16.66893632,86.27751845,0,15.55734987,95.75,0,0,0,0,,,1.1,0.071865599,16.69783628,86.46814931,-0.077128547,15.55844158,95.75004532,0,0,0,0
1.2,0,16.6659638,86.25942184,0,15.55734987,95.75,0,0,0,0,,,1.2,0.071866539,16.6976177,86.46681839,-0.077128398,15.55847168,95.75004944,0,0,0,0
1.3,0,16.66300586,86.24141453,0,15.55734987,95.75,0,0,0,0,,,1.3,0.07186748,16.69739912,86.46548745,-0.077128251,15.55850148,95.75005356,0,0,0,0
1.4,0,16.66006235,86.22349562,0,15.55734987,95.75,0,0,0,0,,,1.4,0.071868421,16.69718054,86.4641565,-0.077128104,15.55853099,95.75005768,0,0,0,0
1.5,0,16.65713315,86.20566428,0,15.55734987,95.75,0,0,0,0,,,1.5,0.071869362,16.69696196,86.46282552,-0.077127959,15.55856021,95.7500618,0,0,0,0
1.6,0,16.6542181,86.18791963,0,15.55734987,95.75,0,0,0,0,,,1.6,0.071870303,16.69674337,86.46149453,-0.077127816,15.55858915,95.75006592,0,0,0,0
1.7,0,16.65131707,86.17026085,0,15.55734987,95.75,0,0,0,0,,,1.7,0.071871244,16.69652477,86.46016353,-0.077127674,15.5586178,95.75007004,0,0,0,0
1.8,0,16.64842993,86.15268712,0,15.55734987,95.75,0,0,0,0,,,1.8,0.071872185,16.69630618,86.4588325,-0.077127533,15.55864618,95.75007416,0,0,0,0
1.9,0,16.64555655,86.13519762,0,15.55734987,95.75,0,0,0,0,,,1.9,0.071873126,16.69608758,86.45750146,-0.077127394,15.55867428,95.75007828,0,0,0,0
2,0,16.6426968,86.11779154,0,15.55734987,95.75,0,0,0,0,,,2,0.071874067,16.69586898,86.4561704,-0.077127256,15.55870211,95.7500824,0,0,0,0
2.1,0,16.63985054,86.1004681,0,15.55734987,95.75,0,0,0,0,,,2.1,0.071875008,16.69565037,86.45483933,-0.077127119,15.55872967,95.75008652,0,0,0,0
2.2,0,16.63701765,86.08322653,0,15.55734987,95.75,0,0,0,0,,,2.2,0.071875949,16.69543176,86.45350823,-0.077126984,15.55875695,95.75009064,0,0,0,0
2.3,0,16.634198,86.06606604,0,15.55734987,95.75,0,0,0,0,,,2.3,0.07187689,16.69521315,86.45217712,-0.07712685,15.55878398,95.75009476,0,0,0,0
2.4,0,16.63139148,86.0489859,0,15.55734987,95.75,0,0,0,0,,,2.4,0.071877831,16.69499453,86.45084599,-0.077126717,15.55881074,95.75009888,0,0,0,0
