time,SC_I,SC_V,SC_SOC,bat_I,bat_V,bat_SOC,Speed,EVPower,Acceleration,I_Load,,,time.1,SC_I.1,SC_V.1,SC_SOC.1,bat_I.1,bat_V.1,bat_SOC.1,Speed.1,EVPower.1,Acceleration.1,I_Load.1
0,0,16.70264755,86.48278827,0,15.55734987,95.75,0,0,0,0,,,0,0.004301482,16.70250345,86.48278827,-0.004958009,15.55739747,95.75,0,0,0,0
0.1,0,16.69949632,86.46359735,0,15.55734987,95.75,0,0,0,0,,,0.1,0.004301489,16.70249037,86.48270861,-0.004958008,15.55739963,95.75000026,0,0,0,0
0.2,0,16.69636968,86.44455678,0,15.55734987,95.75,0,0,0,0,,,0.2,0.004301495,16.70247729,86.48262895,-0.004958007,15.55740176,95.75000053,0,0,0,0
0.3,0,16.69325917,86.425615,0,15.55734987,95.75,0,0,0,0,,,0.3,0.004301502,16.70246421,86.48254929,-0.004958005,15.55740387,95.75000079,0,0,0,0
0.4,0,16.69016462,86.406771,0,15.55734987,95.75,0,0,0,0,,,0.4,0.004301509,16.70245112,86.48246963,-0.004958004,15.55740597,95.75000106,0,0,0,0
0.5,0,16.68708587,86.38802377,0,15.55734987,95.75,0,0,0,0,,,0.5,0.004301516,16.70243804,86.48238997,-0.004958003,15.55740804,95.75000132,0,0,0,0
0.6,0,16.68402276,86.36937233,0,15.55734987,95.75,0,0,0,0,,,0.6,0.004301522,16.70242496,86.4823103,-0.004958001,15.55741009,95.75000159,0,0,0,0
0.7,0,16.68097513,86.3508157,0,15.55734987,95.75,0,0,0,0,,,0.7,0.004301529,16.70241188,86.48223064,-0.004958,15.55741212,95.75000185,0,0,0,0
0.8,0,16.67794282,86.33235293,0,15.55734987,95.75,0,0,0,0,,,0.8,0.004301536,16.7023988,86.48215098,-0.004957999,15.55741413,95.75000212,0,0,0,0
0.9,0,16.67492569,86.31398309,0,15.55734987,95.75,0,0,0,0,,,0.9,0.004301543,16.70238572,86.48207132,-0.004957998,15.55741613,95.75000238,0,0,0,0
1,0,16.67192357,86.29570523,0,15.55734987,95.75,0,0,0,0,,,1,0.004301549,16.70237264,86.48199166,-0.004957996,15.5574181,95.75000265,0,0,0,0
1.1,0,16.66893632,86.27751845,0,15.55734987,95.75,0,0,0,0,,,1.1,0.004301556,16.70235956,86.48191199,-0.004957995,15.55742005,95.75000291,0,0,0,0
1.2,0,16.6659638,86.25942184,0,15.55734987,95.75,0,0,0,0,,,1.2,0.004301563,16.70234648,86.48183233,-0.004957994,15.55742199,95.75000318,0,0,0,0
1.3,0,16.66300586,86.24141453,0,15.55734987,95.75,0,0,0,0,,,1.3,0.00430157,16.7023334,86.48175267,-0.004957993,15.5574239,95.75000344,0,0,0,0
1.4,0,16.66006235,86.22349562,0,15.55734987,95.75,0,0,0,0,,,1.4,0.004301576,16.70232032,86.48167301,-0.004957991,15.5574258,95.75000371,0,0,0,0
1.5,0,16.65713315,86.20566428,0,15.55734987,95.75,0,0,0,0,,,1.5,0.004301583,16.70230723,86.48159334,-0.00495799,15.55742768,95.75000397,0,0,0,0
1.6,0,16.6542181,86.18791963,0,15.55734987,95.75,0,0,0,0,,,1.6,0.00430159,16.70229415,86.48151368,-0.004957989,15.55742954,95.75000424,0,0,0,0
1.7,0,16.65131707,86.17026085,0,15.55734987,95.75,0,0,0,0,,,1.7,0.004301597,16.70228107,86.48143402,-0.004957988,15.55743138,95.7500045,0,0,0,0
1.8,0,16.64842993,86.15268712,0,15.55734987,95.75,0,0,0,0,,,1.8,0.004301603,16.70226799,86.48135435,-0.004957987,15.5574332,95.75000477,0,0,0,0
1.9,0,16.64555655,86.13519762,0,15.55734987,95.75,0,0,0,0,,,1.9,0.00430161,16.70225491,86.48127469,-0.004957986,15.55743501,95.75000503,0,0,0,0
2,0,16.6426968,86.11779154,0,15.55734987,95.75,0,0,0,0,,,2,0.004301617,16.70224183,86.48119503,-0.004957984,15.5574368,95.7500053,0,0,0,0
2.1,0,16.63985054,86.1004681,0,15.55734987,95.75,0,0,0,0,,,2.1,0.004301623,16.70222875,86.48111536,-0.004957983,15.55743857,95.75000556,0,0,0,0
2.2,0,16.63701765,86.08322653,0,15.55734987,95.75,0,0,0,0,,,2.2,0.00430163,16.70221567,86.4810357,-0.004957982,15.55744033,95.75000583,0,0,0,0
2.3,0,16.634198,86.06606604,0,15.55734987,95.75,0,0,0,0,,,2.3,0.004301637,16.70220259,86.48095604,-0.004957981,15.55744206,95.75000609,0,0,0,0
2.4,0,16.63139148,86.0489859,0,15.55734987,95.75,0,0,0,0,,,2.4,0.004301644,16.7021895,86.48087637,-0.00495798,15.55744378,95.75000636,0,0,0,0
2.5,0,16.62859796,86.03198534,0,15.55734987,95.75,0,0,0,0,,,2.5,0.00430165,16.70217642,86.48079671,-0.004957979,15.55744549,95.75000662,0,0,0,0
2.6,0,16.62581732,86.01506363,0,15.55734987,95.75,0,0,0,0,,,2.6,0.004301657,16.70216334,86.48071704,-0.004957978,15.55744717,95.75000689,0,0,0,0
2.7,0,16.62304944,85.99822005,0,15.55734987,95.75,0,0,0,0,,,2.7,0.004301664,16.70215026,86.48063738,-0.004957977,15.55744884,95.75000715,0,0,0,0
2.8,0,16.6202942,85.98145389,0,15.55734987,95.75,0,0,0,0,,,2.8,0.004301671,16.70213718,86.48055771,-0.004957976,15.5574505,95.75000742,0,0,0,0
2.9,0,16.6175515,85.96476442,0,15.55734987,95.75,0,0,0,0,,,2.9,0.004301677,16.7021241,86.48047805,-0.004957975,15.55745214,95.75000768,0,0,0,0
3,0,16.61482121,85.94815097,0,15.55734987,95.75,0,0,0,0,,,3,0.004301684,16.70211102,86.48039839,-0.004957974,15.55745376,95.75000795,0,0,0,0
3.1,0,16.61210323,85.93161283,0,15.55734987,95.75,0,0,0,0,,,3.1,0.004301691,16.70209794,86.48031872,-0.004957973,15.55745537,95.75000821,0,0,0,0
3.2,0,16.60939744,85.91514934,0,15.55734987,95.75,0,0,0,0,,,3.2,0.004301698,16.70208485,86.48023906,-0.004957972,15.55745696,95.75000848,0,0,0,0
3.3,0,16.60670374,85.89875983,0,15.55734987,95.75,0,0,0,0,,,3.3,0.004301704,16.70207177,86.48015939,-0.004957971,15.55745853,95.75000874,0,0,0,0
3.4,0,16.60402201,85.88244363,0,15.55734987,95.75,0,0,0,0,,,3.4,0.004301711,16.70205869,86.48007973,-0.00495797,15.55746009,95.750009,0,0,0,0
3.5,0,16.60135216,85.86620009,0,15.55734987,95.75,0,0,0,0,,,3.5,0.004301718,16.70204561,86.48000006,-0.004957969,15.55746164,95.75000927,0,0,0,0
3.6,0,16.59869408,85.85002857,0,15.55734987,95.75,0,0,0,0,,,3.6,0.004301725,16.70203253,86.47992039,-0.004957968,15.55746317,95.75000953,0,0,0,0
3.7,0,16.59604765,85.83392844,0,15.55734987,95.75,0,0,0,0,,,3.7,0.004301731,16.70201945,86.47984073,-0.004957967,15.55746468,95.7500098,0,0,0,0
3.8,0,16.5934128,85.81789907,0,15.55734987,95.75,0,0,0,0,,,3.8,0.004301738,16.70200637,86.47976106,-0.004957966,15.55746619,95.75001006,0,0,0,0
3.9,0,16.5907894,85.80193985,0,15.55734987,95.75,0,0,0,0,,,3.9,0.004301745,16.70199328,86.4796814,-0.004957965,15.55746767,95.75001033,0,0,0,0
4,0,16.58817736,85.78605016,0,15.55734987,95.75,0,0,0,0,,,4,0.004301751,16.7019802,86.47960173,-0.004957964,15.55746914,95.75001059,0,0,0,0
4.1,0,16.58557659,85.7702294,0,15.55734987,95.75,0,0,0,0,,,4.1,0.004301758,16.70196712,86.47952207,-0.004957963,15.5574706,95.75001086,0,0,0,0
4.2,0,16.58298698,85.75447698,0,15.55734987,95.75,0,0,0,0,,,4.2,0.004301765,16.70195404,86.4794424,-0.004957962,15.55747204,95.75001112,0,0,0,0
4.3,0,16.58040845,85.73879232,0,15.55734987,95.75,0,0,0,0,,,4.3,0.004301772,16.70194096,86.47936273,-0.004957961,15.55747347,95.75001139,0,0,0,0
4.4,0,16.5778409,85.72317483,0,15.55734987,95.75,0,0,0,0,,,4.4,0.004301778,16.70192788,86.47928307,-0.00495796,15.55747489,95.75001165,0,0,0,0
4.5,0,16.57528423,85.70762394,0,15.55734987,95.75,0,0,0,0,,,4.5,0.004301785,16.70191479,86.4792034,-0.004957959,15.55747629,95.75001192,0,0,0,0
4.6,0,16.57273835,85.6921391,0,15.55734987,95.75,0,0,0,0,,,4.6,0.004301792,16.70190171,86.47912373,-0.004957958,15.55747768,95.75001218,0,0,0,0
4.7,0,16.57020317,85.67671973,0,15.55734987,95.75,0,0,0,0,,,4.7,0.004301799,16.70188863,86.47904407,-0.004957957,15.55747906,95.75001245,0,0,0,0
4.8,0,16.56767861,85.6613653,0,15.55734987,95.75,0,0,0,0,,,4.8,0.004301805,16.70187555,86.4789644,-0.004957957,15.55748042,95.75001271,0,0,0,0
